,Angles,Phase,Correction
217,"[7, 158, 153, 0, 180, 38, 176, 178]",0,0
218,"[7, 155, 152, 0, 179, 38, 177, 178]",0,0
219,"[7, 152, 151, 0, 179, 38, 177, 178]",0,0
220,"[7, 150, 149, 0, 179, 38, 178, 177]",0,0
221,"[6, 151, 145, 0, 179, 38, 178, 177]",0,0
222,"[6, 148, 142, 0, 179, 38, 178, 177]",0,0
223,"[4, 141, 151, 0, 180, 38, 178, 177]",0,0
224,"[2, 135, 151, 0, 180, 38, 178, 177]",0,0
225,"[1, 122, 139, 0, 180, 38, 179, 177]",0,0
226,"[1, 115, 133, 0, 179, 38, 179, 177]",0,0
227,"[2, 110, 119, 0, 179, 38, 178, 177]",0,0
228,"[3, 108, 106, 0, 179, 38, 178, 177]",0,0
229,"[4, 103, 93, 0, 178, 38, 178, 176]",0,0
230,"[5, 93, 78, 0, 178, 38, 178, 176]",0,0
231,"[6, 91, 69, 0, 178, 38, 178, 176]",0,1
232,"[7, 97, 56, 0, 178, 38, 177, 176]",0,1
233,"[8, 97, 53, 0, 178, 38, 177, 176]",0,1
234,"[8, 87, 52, 0, 178, 39, 177, 176]",0,1
235,"[9, 90, 52, 0, 178, 39, 177, 176]",0,1
236,"[8, 86, 48, 0, 178, 39, 177, 176]",0,1
237,"[8, 82, 45, 0, 178, 39, 177, 176]",0,1
238,"[8, 77, 44, 0, 178, 39, 177, 176]",0,1
239,"[8, 77, 41, 0, 178, 39, 177, 176]",0,1
240,"[8, 77, 40, 0, 178, 39, 177, 176]",0,1
241,"[9, 77, 39, 0, 178, 39, 177, 176]",2,1
242,"[10, 75, 38, 0, 177, 39, 176, 176]",2,1
243,"[12, 74, 37, 0, 177, 39, 176, 176]",2,1
244,"[13, 71, 36, 0, 177, 39, 176, 176]",2,1
245,"[13, 70, 36, 0, 176, 39, 176, 176]",2,1
246,"[13, 68, 35, 0, 176, 39, 176, 176]",2,1
247,"[13, 65, 34, 0, 176, 39, 176, 176]",2,1
248,"[12, 61, 34, 0, 177, 39, 176, 176]",2,1
249,"[11, 61, 34, 0, 177, 39, 176, 176]",2,1
250,"[9, 60, 35, 0, 177, 39, 175, 176]",2,1
251,"[9, 60, 34, 0, 177, 39, 175, 176]",2,1
252,"[10, 60, 34, 0, 177, 39, 175, 176]",2,1
253,"[10, 68, 34, 0, 177, 39, 174, 176]",2,1
254,"[10, 76, 34, 0, 177, 39, 174, 176]",2,1
255,"[11, 73, 34, 0, 177, 39, 174, 176]",2,1
256,"[11, 64, 34, 0, 177, 39, 174, 176]",2,1
257,"[12, 63, 34, 0, 177, 39, 174, 176]",2,1
258,"[12, 61, 34, 0, 177, 39, 174, 176]",2,1
259,"[12, 59, 34, 0, 177, 39, 174, 176]",2,1
260,"[12, 57, 34, 0, 177, 39, 174, 176]",2,1
261,"[12, 56, 33, 0, 177, 39, 174, 176]",2,1
262,"[12, 55, 33, 0, 177, 39, 174, 176]",2,1
263,"[11, 55, 34, 0, 177, 39, 174, 176]",2,1
264,"[12, 55, 34, 0, 178, 39, 174, 176]",2,1
265,"[11, 58, 35, 0, 178, 39, 174, 176]",2,1
266,"[11, 59, 35, 0, 178, 39, 174, 176]",2,1
267,"[11, 59, 36, 0, 178, 39, 174, 175]",2,1
268,"[10, 57, 37, 0, 178, 39, 174, 175]",2,1
269,"[10, 57, 37, 0, 178, 40, 174, 175]",2,1
270,"[10, 56, 37, 0, 178, 40, 174, 175]",2,1
271,"[10, 56, 38, 0, 178, 40, 174, 175]",2,0
272,"[10, 56, 38, 0, 178, 40, 174, 175]",2,0
273,"[10, 56, 38, 0, 178, 40, 174, 175]",2,0
274,"[10, 69, 39, 0, 178, 40, 173, 174]",2,1
275,"[10, 68, 39, 0, 178, 40, 173, 174]",2,1
276,"[10, 74, 39, 0, 178, 40, 173, 173]",2,1
277,"[9, 73, 39, 0, 178, 40, 173, 173]",2,1
278,"[10, 79, 39, 0, 177, 40, 172, 173]",2,1
279,"[9, 77, 40, 0, 178, 40, 172, 173]",2,1
280,"[8, 74, 41, 0, 178, 40, 171, 172]",2,1
281,"[7, 78, 43, 0, 178, 40, 171, 172]",2,1
282,"[6, 82, 46, 0, 178, 40, 171, 172]",2,1
283,"[5, 91, 47, 0, 178, 40, 171, 173]",2,1
284,"[4, 96, 48, 0, 178, 40, 171, 173]",2,1
285,"[4, 105, 52, 0, 178, 40, 171, 173]",2,1
286,"[3, 108, 56, 0, 178, 40, 171, 173]",0,1
287,"[3, 113, 62, 0, 178, 40, 171, 173]",0,1
288,"[2, 113, 71, 0, 178, 40, 171, 173]",0,1
289,"[1, 123, 83, 0, 178, 40, 171, 173]",0,1
290,"[0, 139, 91, 0, 179, 40, 171, 173]",0,1
291,"[0, 139, 95, 0, 179, 40, 171, 173]",0,1
292,"[0, 160, 99, 0, 179, 40, 171, 173]",0,1
293,"[0, 162, 112, 0, 179, 40, 171, 173]",0,1
294,"[0, 165, 114, 0, 179, 40, 171, 173]",0,1
295,"[1, 167, 126, 0, 179, 39, 172, 173]",0,1
296,"[2, 169, 127, 0, 180, 39, 173, 173]",0,1
297,"[2, 170, 126, 0, 179, 39, 173, 172]",0,1
298,"[3, 171, 128, 0, 178, 39, 173, 172]",0,1
299,"[4, 171, 133, 0, 177, 39, 174, 172]",0,1
300,"[5, 172, 137, 0, 176, 39, 174, 171]",0,1
301,"[6, 170, 139, 0, 176, 39, 174, 171]",1,1
302,"[6, 169, 141, 0, 176, 39, 174, 171]",1,1
303,"[6, 167, 144, 0, 175, 39, 175, 171]",1,1
304,"[7, 166, 146, 0, 176, 39, 175, 172]",1,1
305,"[8, 165, 148, 0, 176, 39, 175, 173]",1,0
306,"[9, 165, 150, 0, 175, 39, 175, 173]",1,0
307,"[10, 165, 151, 0, 174, 39, 176, 173]",1,0
308,"[10, 165, 152, 0, 174, 39, 177, 173]",1,0
309,"[10, 164, 154, 0, 173, 39, 177, 173]",1,0
310,"[10, 164, 155, 0, 173, 39, 177, 173]",1,0
311,"[10, 165, 157, 0, 172, 39, 177, 173]",1,0
312,"[11, 165, 158, 0, 171, 40, 176, 173]",1,0
313,"[10, 165, 159, 0, 171, 40, 176, 173]",1,0
314,"[10, 165, 160, 0, 171, 40, 176, 173]",1,0
315,"[10, 166, 161, 0, 171, 40, 176, 173]",1,0
316,"[10, 166, 162, 0, 171, 40, 176, 174]",1,0
317,"[10, 165, 163, 0, 171, 40, 176, 174]",1,0
318,"[9, 165, 163, 0, 171, 40, 175, 174]",1,0
319,"[9, 164, 164, 0, 171, 40, 175, 174]",1,0
320,"[9, 164, 164, 0, 171, 40, 175, 174]",1,0
321,"[8, 164, 164, 0, 171, 40, 175, 174]",1,0
322,"[8, 164, 164, 0, 171, 40, 175, 173]",1,0
323,"[8, 164, 164, 0, 171, 40, 176, 173]",1,0
324,"[8, 163, 164, 0, 171, 40, 176, 173]",1,0
325,"[8, 163, 164, 0, 171, 40, 176, 173]",1,0
326,"[8, 163, 164, 0, 171, 40, 176, 173]",1,0
327,"[8, 162, 164, 0, 171, 40, 176, 173]",1,0
328,"[8, 162, 164, 0, 171, 40, 176, 173]",1,0
329,"[8, 162, 164, 0, 171, 40, 176, 173]",1,0
330,"[8, 162, 164, 0, 171, 40, 176, 173]",1,0
331,"[8, 162, 163, 0, 171, 40, 176, 173]",1,0
332,"[8, 162, 162, 0, 172, 40, 176, 173]",1,0
333,"[8, 162, 161, 0, 172, 40, 176, 173]",1,0
334,"[7, 162, 161, 0, 172, 40, 176, 173]",1,0
335,"[7, 162, 161, 0, 172, 40, 176, 173]",1,0
336,"[7, 163, 161, 0, 172, 40, 176, 173]",1,0
337,"[7, 163, 161, 0, 172, 40, 176, 173]",1,0
338,"[7, 163, 161, 0, 172, 40, 176, 174]",1,0
339,"[8, 163, 161, 0, 173, 40, 176, 174]",1,0
340,"[7, 164, 161, 0, 173, 40, 176, 174]",1,0
341,"[7, 165, 161, 0, 173, 40, 176, 174]",1,0
342,"[7, 166, 161, 0, 173, 40, 176, 175]",1,0
343,"[6, 166, 161, 0, 174, 40, 176, 175]",1,0
344,"[6, 167, 161, 0, 174, 40, 176, 175]",1,0
345,"[6, 167, 161, 0, 174, 40, 176, 175]",1,0
346,"[6, 167, 161, 0, 174, 40, 176, 175]",1,0
347,"[6, 167, 162, 0, 174, 40, 176, 175]",1,0
348,"[6, 167, 162, 0, 174, 41, 176, 175]",1,0
349,"[6, 167, 163, 0, 174, 41, 176, 175]",1,0
350,"[6, 167, 163, 0, 174, 41, 177, 175]",1,0
351,"[6, 167, 163, 0, 174, 41, 177, 175]",1,0
352,"[6, 167, 163, 0, 174, 41, 177, 175]",1,0
353,"[6, 168, 163, 0, 174, 41, 177, 175]",1,0
354,"[6, 168, 164, 0, 174, 41, 177, 174]",1,0
355,"[6, 168, 164, 0, 174, 41, 177, 174]",1,0
356,"[6, 168, 164, 0, 174, 41, 177, 174]",1,0
357,"[6, 168, 164, 0, 174, 41, 177, 174]",1,0
358,"[6, 168, 164, 0, 174, 41, 176, 174]",1,0
359,"[6, 168, 164, 0, 174, 41, 176, 174]",1,0
360,"[5, 168, 163, 0, 175, 41, 175, 174]",1,0
