,Angles,Phase,Correction
256,"[55, 172, 178, 0, 156, 3, 160, 170]",,Widen your legs
257,"[55, 172, 178, 0, 156, 3, 160, 170]",,Widen your legs
258,"[55, 172, 178, 0, 156, 2, 161, 170]",,Widen your legs
259,"[55, 172, 178, 0, 157, 2, 161, 170]",,Widen your legs
260,"[56, 172, 178, 0, 157, 2, 161, 171]",,Widen your legs
261,"[56, 172, 178, 0, 157, 3, 161, 171]",,Widen your legs
262,"[56, 172, 178, 0, 157, 2, 161, 171]",,Widen your legs
263,"[56, 172, 178, 0, 157, 2, 161, 171]",,Widen your legs
264,"[56, 172, 178, 0, 157, 2, 161, 171]",,Widen your legs
265,"[56, 172, 178, 0, 157, 2, 161, 171]",,Widen your legs
266,"[56, 171, 178, 0, 157, 2, 161, 171]",,Widen your legs
267,"[56, 171, 178, 0, 157, 2, 161, 171]",,Widen your legs
268,"[56, 171, 178, 0, 157, 2, 161, 171]",,Widen your legs
269,"[56, 171, 178, 0, 157, 2, 161, 171]",,Widen your legs
270,"[56, 171, 178, 0, 157, 2, 161, 171]",,Widen your legs
271,"[56, 171, 178, 0, 157, 2, 161, 171]",,Widen your legs
272,"[56, 171, 178, 0, 157, 2, 161, 171]",,Widen your legs
273,"[55, 171, 178, 0, 157, 2, 161, 171]",,Widen your legs
274,"[55, 171, 178, 0, 157, 2, 161, 171]",,Widen your legs
275,"[55, 171, 178, 0, 157, 2, 161, 171]",,Widen your legs
276,"[55, 171, 178, 0, 157, 2, 161, 171]",,Widen your legs
277,"[55, 171, 178, 0, 157, 2, 161, 171]",,Widen your legs
278,"[55, 171, 178, 0, 157, 2, 161, 171]",,Widen your legs
279,"[55, 171, 178, 0, 157, 2, 161, 171]",,Widen your legs
280,"[55, 171, 178, 0, 157, 2, 161, 171]",,Widen your legs
281,"[55, 171, 178, 0, 157, 2, 161, 171]",,Widen your legs
282,"[55, 171, 178, 0, 157, 2, 161, 171]",,Widen your legs
283,"[55, 171, 178, 0, 157, 2, 161, 170]",,Widen your legs
284,"[55, 171, 178, 0, 157, 2, 161, 170]",,Widen your legs
285,"[56, 171, 178, 0, 157, 2, 161, 170]",,Widen your legs
286,"[56, 171, 178, 0, 157, 2, 161, 170]",,Widen your legs
287,"[56, 171, 178, 0, 157, 2, 161, 170]",,Widen your legs
288,"[56, 171, 178, 0, 157, 2, 161, 170]",,Widen your legs
289,"[56, 172, 178, 0, 157, 2, 161, 170]",,Widen your legs
290,"[56, 172, 178, 0, 157, 2, 161, 170]",,Widen your legs
291,"[56, 172, 178, 0, 157, 2, 161, 170]",,Widen your legs
292,"[56, 172, 178, 0, 157, 2, 161, 170]",,Widen your legs
293,"[56, 172, 178, 0, 157, 2, 161, 170]",,Widen your legs
294,"[56, 172, 178, 0, 157, 2, 161, 170]",,Widen your legs
295,"[56, 172, 178, 0, 157, 2, 161, 170]",,Widen your legs
296,"[56, 172, 178, 0, 157, 2, 161, 170]",,Widen your legs
297,"[56, 172, 178, 0, 157, 2, 161, 170]",,Widen your legs
298,"[55, 172, 178, 0, 157, 2, 160, 170]",,Widen your legs
299,"[55, 172, 178, 0, 157, 2, 160, 170]",,Widen your legs
300,"[55, 172, 178, 0, 157, 2, 160, 170]",,Widen your legs
301,"[55, 172, 178, 0, 157, 2, 160, 170]",,Widen your legs
302,"[55, 172, 178, 0, 157, 2, 160, 170]",,Widen your legs
303,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
304,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
305,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
306,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
307,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
308,"[55, 171, 178, 0, 156, 2, 160, 170]",,Widen your legs
309,"[55, 171, 178, 0, 156, 2, 160, 170]",,Widen your legs
310,"[55, 171, 178, 0, 156, 2, 160, 170]",,Widen your legs
311,"[55, 171, 178, 0, 156, 2, 160, 170]",,Widen your legs
312,"[55, 171, 178, 0, 156, 2, 160, 170]",,Widen your legs
313,"[55, 171, 178, 0, 156, 2, 160, 170]",,Widen your legs
314,"[55, 171, 178, 0, 156, 2, 160, 170]",,Widen your legs
315,"[55, 171, 178, 0, 156, 2, 160, 170]",,Widen your legs
316,"[55, 171, 178, 0, 156, 2, 160, 170]",,Widen your legs
317,"[55, 171, 178, 0, 156, 2, 160, 170]",,Widen your legs
318,"[55, 171, 178, 0, 156, 2, 160, 170]",,Widen your legs
319,"[55, 171, 178, 0, 156, 2, 160, 170]",,Widen your legs
320,"[55, 171, 178, 0, 156, 2, 159, 170]",,Widen your legs
321,"[55, 171, 178, 0, 156, 2, 159, 170]",,Widen your legs
322,"[55, 171, 178, 0, 156, 3, 159, 170]",,Widen your legs
323,"[55, 171, 178, 0, 156, 3, 159, 170]",,Widen your legs
324,"[55, 171, 178, 0, 156, 3, 159, 170]",,Widen your legs
325,"[55, 171, 178, 0, 157, 3, 160, 170]",,Widen your legs
326,"[55, 171, 178, 0, 157, 3, 160, 170]",,Widen your legs
327,"[55, 171, 178, 0, 157, 3, 160, 170]",,Widen your legs
328,"[55, 171, 178, 0, 157, 3, 160, 170]",,Widen your legs
329,"[55, 171, 178, 0, 157, 3, 159, 170]",,Widen your legs
330,"[55, 171, 178, 0, 157, 3, 159, 170]",,Widen your legs
331,"[55, 171, 178, 0, 157, 3, 159, 170]",,Widen your legs
332,"[55, 171, 178, 0, 157, 3, 159, 170]",,Widen your legs
333,"[55, 171, 178, 0, 157, 3, 159, 170]",,Widen your legs
334,"[55, 171, 178, 0, 157, 3, 159, 170]",,Widen your legs
335,"[55, 171, 178, 0, 157, 3, 159, 170]",,Widen your legs
336,"[55, 171, 178, 0, 157, 3, 159, 170]",,Widen your legs
337,"[55, 172, 178, 0, 157, 3, 159, 170]",,Widen your legs
338,"[55, 172, 178, 0, 157, 3, 159, 170]",,Widen your legs
339,"[55, 171, 178, 0, 157, 3, 159, 170]",,Widen your legs
340,"[55, 171, 178, 0, 157, 3, 159, 170]",,Widen your legs
341,"[55, 171, 178, 0, 157, 3, 160, 170]",,Widen your legs
342,"[55, 171, 178, 0, 157, 3, 160, 170]",,Widen your legs
343,"[55, 171, 178, 0, 157, 3, 160, 170]",,Widen your legs
344,"[55, 171, 178, 0, 157, 3, 160, 170]",,Widen your legs
345,"[55, 171, 178, 0, 157, 3, 160, 170]",,Widen your legs
346,"[55, 171, 178, 0, 157, 3, 160, 170]",,Widen your legs
347,"[55, 171, 178, 0, 157, 3, 160, 170]",,Widen your legs
348,"[55, 172, 178, 0, 157, 3, 160, 170]",,Widen your legs
349,"[55, 172, 178, 0, 157, 3, 160, 170]",,Widen your legs
350,"[55, 172, 178, 0, 157, 3, 160, 170]",,Widen your legs
351,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
352,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
353,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
354,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
355,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
356,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
357,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
358,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
359,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
360,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
361,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
362,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
363,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
364,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
365,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
366,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
367,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
368,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
369,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
370,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
371,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
372,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
373,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
374,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
375,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
376,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
377,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
378,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
379,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
380,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
381,"[55, 171, 178, 0, 157, 2, 160, 170]",,Widen your legs
382,"[55, 170, 178, 0, 157, 2, 160, 170]",,Widen your legs
383,"[55, 170, 178, 0, 157, 2, 160, 171]",,Widen your legs
384,"[55, 170, 178, 0, 157, 2, 160, 171]",,Widen your legs
385,"[56, 170, 178, 0, 157, 2, 160, 171]",,Widen your legs
386,"[56, 171, 178, 0, 157, 2, 160, 171]",,Widen your legs
